101;Marco;Rossi;1985-06-10;5;Gabbia 1
102;Sara;Bianchi;1990-03-15;3;Gabbia 2
103;Roberto;Verdi;1980-11-25;8;Gabbia 3
104;Laura;Russo;1995-09-02;2;Gabbia 4
105;Giovanni;Ferrari;1988-07-20;6;Gabbia 5
106;Alice;Ricci;1992-04-18;4;Gabbia 6
107;Andrea;Conti;1987-09-30;2;Gabbia 6
108;Marta;Galli;1993-12-05;5;Gabbia 7
109;Fabio;Mariani;1983-02-14;7;Gabbia 8
110;Giulia;Esposito;1998-08-22;1;Gabbia 8
111;Alessio;Rinaldi;1986-05-12;4;Gabbia 9
112;Cristina;Barbieri;1991-07-28;3;Gabbia 9
113;Paolo;Marini;1982-09-19;6;Gabbia 10
114;Giorgia;Conte;1996-11-08;2;Gabbia 10
1;Leone;Gabbia 1;Carnivoro;Maschio;200;Grande
2;Tigre;Gabbia 1;Carnivoro;Femmina;150;Grande
3;Gorilla;Gabbia 2;Erbivoro;Maschio;300;Grande
4;Scimmia;Gabbia 2;Omnivoro;Femmina;10;Piccola
5;Ghepardo;Gabbia 1;Carnivoro;Femmina;80;Media
6;Orso;Gabbia 3;Omnivoro;Maschio;250;Grande
7;Rinoceronte;Gabbia 4;Erbivoro;Maschio;2000;Grande
8;Leopardo;Gabbia 1;Carnivoro;Femmina;70;Media
9;Elefante;Gabbia 4;Erbivoro;Maschio;4000;Grande
10;Ippopotamo;Gabbia 4;Erbivoro;Femmina;1500;Grande
11;Lemure;Gabbia 5;Omnivoro;Maschio;0,5;Piccola
12;Pinguino;Gabbia 5;Piscivoro;Femmina;15;Piccola
13;Coccodrillo;Gabbia 6;Carnivoro;Maschio;500;Grande
14;Scimpanzé;Gabbia 2;Omnivoro;Femmina;50;Media
15;Struzzo;Gabbia 6;Erbivoro;Femmina;100;Grande
16;Tucano;Gabbia 7;Frugivoro;Maschio;1;Piccola
17;Kangaroo;Gabbia 7;Erbivoro;Femmina;70;Media
18;Giraffa;Gabbia 4;Erbivoro;Maschio;1200;Grande
19;Iena;Gabbia 7;Carnivoro;Femmina;40;Media
20;Lupo;Gabbia 7;Carnivoro;Maschio;35;Media
21;Flamingo;Gabbia 8;Piscivoro;Femmina;4;Piccola
22;Tucano;Gabbia 8;Frugivoro;Maschio;1;Piccola
23;Zebra;Gabbia 8;Erbivoro;Femmina;400;Grande
24;Camaleonte;Gabbia 9;Insettivoro;Maschio;0,2;Piccola
25;Iguana;Gabbia 9;Erbivoro;Femmina;3;Piccola
26;Pappagallo;Gabbia 10;Frugivoro;Maschio;0,5;Piccola
27;Pappagallo;Gabbia 10;Frugivoro;Femmina;0,8;Piccola
